"manyID","treatyID","Title","Beg","stateID","Signature","Force","StateName","gptadID","destaID","changes","StateRatification","StateSignature","StateForce","StateEnd","DataCollection"
"ECGRCA_1961A","ECGRCA_1961A","EEC Greece Association Agreement","1961-07-09","GRC","1961-07-09","1962-11-01","Greece",NA,"311",1,NA,NA,NA,NA,1
"ECGRCA_1961A","ECGRCA_1961A","EEC Greece Association Agreement","1961-07-09","ITA","1961-07-09","1962-11-01","Italy",NA,"311",1,NA,NA,NA,NA,1
"ECGRCA_1961A","ECGRCA_1961A","EEC Greece Association Agreement","1961-07-09","LUX","1961-07-09","1962-11-01","Luxembourg",NA,"311",1,NA,NA,NA,NA,1
"ECGRCA_1961A","ECGRCA_1961A","EEC Greece Association Agreement","1961-07-09","NLD","1961-07-09","1962-11-01","Netherlands",NA,"311",1,NA,NA,NA,NA,1
"EFTFNL_1961O","EFTFNL_1961O","EFTA Finland","1961-01-01","AUT","1961-01-01","1961-01-01","Austria",NA,"445",1,NA,NA,NA,NA,1
"EFTFNL_1961O","EFTFNL_1961O","EFTA Finland","1961-01-01","CHE","1961-01-01","1961-01-01","Switzerland",NA,"445",1,NA,NA,NA,NA,1
"EFTFNL_1961O","EFTFNL_1961O","EFTA Finland","1961-01-01","DNK","1961-01-01","1961-01-01","Denmark",NA,"445",1,NA,NA,NA,NA,1
"EFTFNL_1961O","EFTFNL_1961O","EFTA Finland","1961-01-01","FIN","1961-01-01","1961-01-01","Finland",NA,"445",1,NA,NA,NA,NA,1
"EFTFNL_1961O","EFTFNL_1961O","EFTA Finland","1961-01-01","GBR","1961-01-01","1961-01-01","United Kingdom",NA,"445",1,NA,NA,NA,NA,1
"EFTFNL_1961O","EFTFNL_1961O","EFTA Finland","1961-01-01","NOR","1961-01-01","1961-01-01","Norway",NA,"445",1,NA,NA,NA,NA,1
"EFTFNL_1961O","EFTFNL_1961O","EFTA Finland","1961-01-01","PRT","1961-01-01","1961-01-01","Portugal",NA,"445",1,NA,NA,NA,NA,1
"EFTFNL_1961O","EFTFNL_1961O","EFTA Finland","1961-01-01","SWE","1961-01-01","1961-01-01","Sweden",NA,"445",1,NA,NA,NA,NA,1
"EQCUCA_1961O","EQCUCA_1961O","Equatorial Customs Union Cameroon Accession1961","1961-01-01","CAF","1961-01-01","1961-01-01","Central African Republic",NA,"422",1,NA,NA,NA,NA,1
"EQCUCA_1961O","EQCUCA_1961O","Equatorial Customs Union Cameroon Accession1961","1961-01-01","CMR","1961-01-01","1961-01-01","Cameroon",NA,"422",1,NA,NA,NA,NA,1
"EQCUCA_1961O","EQCUCA_1961O","Equatorial Customs Union Cameroon Accession1961","1961-01-01","COG","1961-01-01","1961-01-01","Congo - Brazzaville",NA,"422",1,NA,NA,NA,NA,1
