"HUGGO_RowNumber";"manyID";"Title";"Signature";"Force";"url";"End";"Checked_HUGGO";"Parties";"No_source";"MetaData_confirmed";"treatyID"
185;"GLFCPC_1981O:GLFCPC_1981O";"Gulf Cooperation Council (GCC)";"1981-05-25";"";"https://www.gcc-sg.org/en-us/AboutGCC/Pages/Primarylaw.aspx";NA;1;"United Arab Emirates, Bahrain, Saudi Arabia, Oman, Qatar, Kuwait";NA;2;"GLFCPC_1981O:GLFCPC_1981O"
186;"INTRAT_1981A";"Inter-Arab Trade Agreement";"1981-02-27";"";"https://www.customs.gov.sa/themes/custom/customs/files/agreements/istanbul/en.pdf";NA;1;"Egypt, Iraq, Jordan, Lebanon, Saudi Arabia, Syria, Libya, Sudan, Morocco, Tunisia Kuwait, Algeria, Bahrain, Qatar, Oman, United Arab Emirates, Mauritania, Somalia, Palestine, Djibouti, North Yemen, South Yemen";NA;2;"INTRAT_1981A"
187;"ORGECS_1981O";"Organisation Of Eastern Caribbean States (OECS)";"1981-06-18";"1981-07-02";"http://caribbeanelections.com/eDocs/treaties/oecs_treaties/treaty_basseterre_1981.pdf";"2010-06-18";1;"Antigua and Barbuda, Commonwealth of Dominica, Grenada, Montserrat, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines";NA;1;"ORGECS_1981O"
202;"AUS-NZL[NA]_1983O";"Australia New Zealand (ANZCERTA)";"1983-03-28";"1983-01-01";"https://www.dfat.gov.au/sites/default/files/anzcerta1.pdf";NA;1;"New Zealand, Australia";NA;1;"AUS-NZL[NA]_1983O"
204;"ECCCAS_1983O";"Economic Community Of Central African States (ECCAS-CEEAC)";"1983-10-18";"1985-01-01";"https://investmentpolicy.unctad.org/international-investment-agreements/treaty-files/2401/download";NA;1;"Angola, Burundi, Cameroon, Central African Republic, Congo, Gabon, Equatorial Guinea, Rwanda, Sao Tome and Principe, Chad, Zaire";NA;1;"ECCCAS_1983O"
214;"COL-SLV[NA]_1984O";"Colombia El Salvador";"1984-03-02";"";"http://www.sice.oas.org/Trade/colcos/colcos.asp#CAPITULO_II_";NA;1;"Columbia, El Salvador";NA;2;"COL-SLV[NA]_1984O"
217;"COL-NIC[NA]_1984O";"Colombia Nicaragua";"1984-03-02";"";"http://www.sice.oas.org/Trade/colnic/ind.asp";NA;1;"Colombia, Nicaragua";NA;2;"COL-NIC[NA]_1984O"
218;"LOME_1984O3:LOME_1975O1";"Lome 3";"1984-12-08";"1986-05-01";"https://edit.wti.org/app.php/document/show/pdf/8d06c317-68f1-4ce7-84f7-d07045e87330";"1990-03-28";1;"Belgium, Denmark, Germany, Greece, France, Ireland, Italy, Luxembourg, Netherlands, United Kingdom, Barbuda, Bahamas, Barbados, Belize, Benin, Botswana, Burkina Faso, Burundi, Cameroon, Cape Verde, Central African Republic, Comoros, Congo, Ivory Coast, Djibouti, Dominica, Ethiopia, Fiji, Gabon, Gambia, Ghana, Grenada, Guinea, Guinea-Bissau, Equatorial Guinea, Guyana, Jamaica, Kenya, Kiribati, Lesotho, Liberia, Madagascar, Malawi, Mali, Mauritania, Mauritius, Mozambique, Niger, Nigeria, Uganda, new Guinea, Rwanda, St Christopher and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Samoa, Sao Tome and Principe, Senegal, Seychelles, Sierra Leone, Solomon Islands, Somalia, Sudan, Suriname, Swaziland, Tanzania, Chad, Togo, Tonga, Trinidad and Tobago, Tuvalu, Vanuatu, Zaire, Zambia, Zimbabwe";NA;1;"LOME_1984O3:LOME_1975O1"
232;"GTM-VEN[VNZ]_1985O";"Guatemala Venezuela";"1985-10-30";"";"http://www.sice.oas.org/Trade/vengua/vengua.asp#ACUERDO";NA;1;"Venezuela, Guatemala";NA;2;"GTM-VEN[VNZ]_1985O"
238;"ISR-USA[NA]_1985O";"US Israel";"1985-04-22";"1985-08-19";"https://raw.github.com/mappingtreaties/tota/master/xml/pta_121.xml";NA;1;"United States, Israel";NA;2;"ISR-USA[NA]_1985O"
