manyID,Title,Signature,Force,url,End,Checked_HUGGO,No_source,MetaData_confirmed,treatyID
AFRCEC_1991O,African Economic Community,1991-06-03,1994-05-12,"""https://au.int/sites/default/files/treaties/37636-treaty-0016_-_treaty_establishing_the_african_economic_community_e.pdf""",NA,1,NA,2,AFRCEC_1991O
ARG-CHL[NA]_1991O:ARG-CHL[NA]_1991O,Argentina Chile,1991-08-02,1991-08-02,"""http://www.sice.oas.org/Trade/argchi/indice_s.asp""",NA,1,NA,2,ARG-CHL[NA]_1991O:ARG-CHL[NA]_1991O
AUS-PNG[NA]_1991O:AUS-PNG[NA]_1976O,Australia Papua New Guinea,1991-02-21,1991-09-20,"""http://www.austlii.edu.au/au/other/dfat/treaties/1991/37.html""",NA,1,NA,1,AUS-PNG[NA]_1991O:AUS-PNG[NA]_1976O
ECFRIS_1991O:ECFRIS_1991O,EC Faroe Islands,1991-12-02,,"""https://www.worldtradelaw.net/document.php?id=fta/agreements/ecfarisfta.pdf&mode=download""",1997-01-01,1,NA,1,ECFRIS_1991O:ECFRIS_1991O
MERCSR_1991O,MERCOSUR,1991-03-26,1991-12-06,"""https://wits.worldbank.org/GPTAD/PDF/archive/MERCOSUR.pdf""",NA,1,NA,2,MERCSR_1991O
IND-NPL[NA]_1991O:IND-NPL[NA]_1991O,India Nepaln,1991-12-06,1991-12-06,"""https://wits.worldbank.org/GPTAD/PDF/archive/India-Nepal.pdf""",NA,1,NA,2,IND-NPL[NA]_1991O
LAO-THA[LAS]_1991O,Lao Peoples Democratic Republic Thailand,1991-06-20,1991-06-20,"""https://www.wto.org/gatt_docs/English/SULPDF/91600059.pdf""",NA,1,NA,2,LAO-THA[LPD]_1991O
EFTTRK_1991O:EFTTRK_1991O,EFTA Turkey,1991-12-10,1992-04-01,"""https://wits.worldbank.org/GPTAD/PDF/archive/EFTA-Turkey.pdf""",2018-06-25,1,NA,2,EFTTRK_1991O
ECHNGR_1991O,EC Hungary,1991-12-16,1994-02-01,"""https://wits.worldbank.org/GPTAD/PDF/archive/EC-Hungary.pdf""",NA,1,NA,2,ECHNGR_1991O
ECPLND_1991O,EC Poland,1991-12-16,1994-02-01,"""https://wits.worldbank.org/GPTAD/PDF/archive/EC-Poland.pdf""",2004-05-01,1,NA,2,ECPLND_1991O
ECSNMR_1991O,EC San Marino,1991-12-16,2002-04-01,"""https://wits.worldbank.org/GPTAD/PDF/archive/EC-SanMarino.pdf""",NA,1,NA,2,ECSNMR_1991O
AZE-RUS[RSS]_1992O,Azerbaijan Russia,1992-09-30,1993-02-17,"""http://rtais.wto.org/rtadocs/830/TOA/English/RF-Azerbaijan%20FTA_text%20with%20protocols.doc""",NA,1,NA,2,AZE-RUS[RSS]_1992O
CRBBCV_1992O,Caribbean Community (CARICOM) Venezuela,1992-10-13,1993-01-01,"""http://www.sice.oas.org/trade/cariven1.asp""",NA,1,NA,2,CRBBCV_1992O
ECMSTR_1992O,EC Maastricht,1992-02-07,1993-11-01,"""https://eur-lex.europa.eu/legal-content/EN/TXT/PDF/?uri=CELEX:11992M/TXT&from=EN""",NA,NA,NA,1,ECMSTR_1992O
JOR-LBN[NA]_1992O:JOR-LBN[NA]_1992O,Jordan Lebanon,1992-10-01,,"""http://www2.ecolex.org/server2neu.php/libcat/docs/TRE/Full/Other/TRE-150042.pdf""",NA,1,NA,2,JOR-LBN[NA]_1992O:JOR-LBN[NA]_1992O
LVA-SWE[NA]_1992O,Latvia Sweden,1992-03-10,,"""https://www.un-ilibrary.org/content/books/9789210453561s002-c012/read""",NA,NA,1,2,LVA-SWE[NA]_1992O
CHE-LVA[NA]_1992O,Latvia Switzerland,1992-12-22,1994-03-01,"""NA""",2004-05-01,NA,1,2,CHE-LVA[NA]_1992O
NAM-ZWE[NA]_1992O,Namibia Zimbabwe,1992-08-17,1993-04-30,"""https://wits.worldbank.org/GPTAD/PDF/archive/Namibia-Zimbabwe.pdf""",NA,1,NA,2,NAM-ZWE[NA]_1992O
RUS-TKM[RSS]_1992O,Russia Turkmenistan,1992-11-11,1993-01-01,"""http://rtais.wto.org/rtadocs/862/TOA/English/Text%20of%20Agreement%20RF-Turkmenistan.docx""",NA,1,NA,2,RUS-TKM[RSS]_1992O
STHADC_1992O:STHADC_1992O,Southern African Development Community (SADC),1992-08-17,1993-09-30,"""https://www.jus.uio.no/english/services/library/treaties/09/9-01/sadc_treaty_consolidated.xml""",NA,1,NA,1,STHADC_1992O:STHADC_1992O
ERPNEA_1992O,European Economic Area (EEA),1993-03-17,1994-01-01,"""https://www.efta.int/media/documents/legal-texts/eea/the-eea-agreement/Main%20Text%20of%20the%20Agreement/EEAagreement.pdf""",NA,1,NA,1,ERPNEA_1992O
FRO-ISL[NA]_1992O:FRO-ISL[NA]_1992O,Faroe Islands Iceland,1992-08-06,1993-07-01,"""https://www.worldtradelaw.net/document.php?id=fta/agreements/farisicefta.pdf&mode=download""",NA,1,NA,2,FRO-ISL[NA]_1992O:FRO-ISL[NA]_1992O
KGZ-RUS[RSS]_1992O,Kyrgyzstan Russia,1992-10-08,1993-04-24,"""https://wits.worldbank.org/GPTAD/PDF/archive/Kyrgyzstan-RussianFed.pdf""",NA,1,NA,2,KGZ-RUS[RSS]_1992O
FRO-NOR[NA]_1992O,Faroe Islands Norway,1992-08-28,1992-09-01,"""https://www.worldtradelaw.net/document.php?id=fta/agreements/farisnorfta.pdf&mode=download""",NA,1,NA,2,FRO-NOR[NA]_1992O
EFTISR_1992O,EFTA Israel,1992-09-17,1993-01-01,"""https://www.efta.int/media/documents/legal-texts/free-trade-relations/israel/EFTA-Israel%20Free%20Trade%20Agreement.pdf""",2021-08-01,1,NA,1,EFTISR_1992O
ARM-RUS[RSF]_1992O,Armenia Russian Federation,1992-09-30,1993-03-25,"""https://www.worldtradelaw.net/document.php?id=fta/agreements/armrusfta.pdf&mode=download""",NA,1,NA,2,ARM-RUS[RSF]_1992O
RUS-TJK[RSF]_1992O,Russian Federation Tajikistan,1992-10-10,,"""http://rtais.wto.org/rtadocs/834/TOA/English/RF-Tajikistan FTA_text  with protocols.doc""",NA,1,NA,2,RUS-TJK[RSF]_1992O
EFTPLN_1992O,EFTA Poland,1992-12-10,1993-11-15,"""https://wits.worldbank.org/GPTAD/PDF/archive/EFTA-Poland.pdf""",NA,1,NA,2,EFTPLN_1992O
EFTRMN_1992O,EFTA Romania,1992-12-10,1993-05-01,"""https://wits.worldbank.org/GPTAD/PDF/archive/EFTA-Romania.pdf""",NA,1,NA,2,EFTRMN_1992O
KAZ-RUS[RSF]_1992O,Russian Federation Kazakhstan,1992-10-22,1993-06-07,"""http://rtais.wto.org/rtadocs/832/TOA/English/RF-Kazakhstan FTA _text with protocols.doc""",NA,1,NA,2,KAZ-RUS[RSF]_1992O
CZE-SVK[CSE]_1992O,Czech Republic Slovak Republic Customs Union,1992-11-23,1993-01-01,"""http://www.cawater-info.net/bk/water_law/pdf/czech-slovak_1992.pdf""",NA,1,NA,2,CZE-SVK[SCU]_1992O
BLR-RUS[RSF]_1992O:BLR-RUS[RSS]_1992O,Russian Federation Belarus,1992-11-13,,"""https://cis-legislation.com/document.fwx?rgn=18168""",NA,1,NA,2,BLR-RUS[RSF]_1992O
NRTAFT_1992A,North American Free Trade Agreement (NAFTA),1992-12-17,1994-01-01,"""https://www.italaw.com/sites/default/files/laws/ITA%20LAW%207029_0.pdf""",2020-07-01,1,NA,1,NRTAFT_1992A
